Pose 1,115,236.85,138.2,264.09,63,235.28,155.28,180,180,180,180,180,180
Pose 2,140,245.42,90.92,281.41,353.62,295.06,265.4,180,180,180,180,180,180
Pose 3,293,137.05,220.52,87.4,217.98,307,103.13,180,180,180,180,180,180
Pose 4,10,176.73,147.59,43.32,142.68,275,205.12,180,180,180,180,180,180
Pose 5,85,255.93,141.29,236.09,65.84,228.26,130.5,180,180,180,180,180,180
Pose 6,140,205.51,96.12,275.16,313.2,260.62,229.57,180,180,180,180,180,180
Pose 7,120,240.31,140.2,239.88,66.74,239.24,115.38,180,180,180,180,180,180
Pose 8,285,113.25,129.73,289.67,7.89,195.54,83.44,180,180,180,180,180,180
Pose 9,285,121.22,234.46,131.94,356.65,77.01,227.27,180,180,180,180,180,180
Pose 10,340,141.74,22.27,67.95,16.12,61.73,153.11,180,180,180,180,180,180
Pose 11,180,180,180,180,180,180,180,180,180,180,180,180,180
Pose 12,270,180,180,180,180,180,180,180,180,180,180,180,180
Pose 13,180,180,180,180,180,90,180,180,180,180,180,180,180
Pose 14,180,180,180,90,180,180,180,180,180,180,180,180,180
Pose 15,180,90,180,180,180,180,180,180,180,180,180,180,180
